ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
葵瓜子,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,葵瓜子,葵瓜子
豆豉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,豆豉,豆豉
蓮藕粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蓮藕粉,蓮藕
紅豆,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅豆,紅豆
印度長米,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,印度長米,米
蒜片,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蒜片,蒜
鍚蘭肉桂丁,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,鍚蘭肉桂丁,肉桂
丁香,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,丁香,丁香
香茅,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香茅,香茅
薑黃粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,薑黃粉,薑黃粉
高麗菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,高麗菜,高麗菜
雞腿,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,雞腿,雞腿
大蒜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,大蒜,蒜
鮮雞粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,鮮雞粉,雞肉
雞肉塊,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,雞肉塊,雞肉
薑片,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,薑片,薑
黑麻油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,黑麻油,食用油
雞粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,雞粉,雞粉
大頭菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,大頭菜,大頭菜
香菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香菜,香菜
白蔭油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白蔭油,黃豆
花椒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,花椒,花椒
草果,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,草果,草果
桂皮,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,桂皮,桂皮
糖色,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,糖色,糖
糯米粉麻糬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,糯米粉麻糬,糯米
無糖花生粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,無糖花生粉,花生
動物性鮮奶油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,動物性鮮奶油,鮮奶油
洋菜粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,洋菜粉,洋菜粉
果凍粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,果凍粉,明膠
蛋白,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蛋白,雞蛋
檸檬汁,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,檸檬汁,檸檬
椰子粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,椰子粉,椰子
新鮮豆皮,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,新鮮豆皮,大豆
九層塔葉絲,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,九層塔葉絲,九層塔
紅辣椒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅辣椒,辣椒
辣麻油腐乳,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣麻油腐乳,食用油
麻竹筍,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,麻竹筍,竹筍
豆粕,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,豆粕,大豆
水果餡,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,水果餡,水果
熟麵粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,熟麵粉,小麥
秋葵,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,秋葵,秋葵
黃甜椒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,黃甜椒,甜椒
紅甜椒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅甜椒,甜椒
香菜碎,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香菜碎,香菜
蒜味腐乳醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蒜味腐乳醬,大豆
白蘿蔔,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白蘿蔔,白蘿蔔
素豆雞,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素豆雞,大豆
鮮香菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,鮮香菇,香菇
素肉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素肉,大豆
洋菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,洋菇,洋菇
素鴨,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素鴨,小麥
滷包,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,滷包,滷包
辣豆瓣醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣豆瓣醬,豆瓣醬
辣椒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣椒,辣椒
素高湯粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素高湯粉,大豆
濃縮滷漿,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,濃縮滷漿,大豆
魚,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,魚,魚
牛腩,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,牛腩,牛肉
青蔥段,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,青蔥段,蔥
辣椒段,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣椒段,辣椒
蛋,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蛋,雞蛋
奶粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,奶粉,奶粉
乾酵母,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,乾酵母,酵母
二砂糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,二砂糖,糖
黑糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,黑糖,糖
玻璃紙,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,玻璃紙,非食材
紅蕃茄,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅蕃茄,蕃茄
乾白木耳,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,乾白木耳,白木耳
蔬菜高湯,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蔬菜高湯,蔬菜
泡發黑木耳,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,泡發黑木耳,黑木耳
紅蘿蔔片,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅蘿蔔片,紅蘿蔔
小黃瓜片,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,小黃瓜片,小黃瓜
辣椒片,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣椒片,辣椒
辣油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,辣油,食用油
花生粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,花生粉,花生
紅心地瓜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅心地瓜,地瓜
紅麵線,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅麵線,小麥
乾香菇,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,乾香菇,香菇
沙拉筍,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,沙拉筍,筍
素肉絲,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素肉絲,大豆
素沙茶醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素沙茶醬,食用油
淡醬油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,淡醬油,大豆
紅糖,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,紅糖,紅糖
甜豆,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,甜豆,豌豆
蠔油,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蠔油,蠔油
麵腸,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,麵腸,小麥
素烏醋,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,素烏醋,米
熟鹹蛋,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,熟鹹蛋,鴨蛋
奶油乳酪,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,奶油乳酪,奶油乳酪
香草莢,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香草莢,香草莢
蘭姆酒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蘭姆酒,甘蔗
愛玉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,愛玉,愛玉
碎冰塊,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,碎冰塊,水
馬鈴薯,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,馬鈴薯,馬鈴薯
小紅蕃茄,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,小紅蕃茄,番茄
月桂葉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,月桂葉,月桂葉
熱開水,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,熱開水,水
昆布,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,昆布,昆布
百頁豆腐,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,百頁豆腐,黃豆
香菇粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,香菇粉,香菇
細地瓜粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,細地瓜粉,地瓜
馬鈴薯澱粉,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,馬鈴薯澱粉,馬鈴薯
照燒醬,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,照燒醬,黃豆
碎葡萄乾,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,碎葡萄乾,葡萄
高鮮味精,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,高鮮味精,玉米
胡椒鹽,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,胡椒鹽,鹽
綠豆,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,綠豆,綠豆
冰塊,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,冰塊,水
透抽,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,透抽,透抽
蝦仁,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蝦仁,蝦
蟳味棒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蟳味棒,魚肉
韭菜,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,韭菜,韭菜
白胡椒,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,白胡椒,白胡椒
蔥段,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蔥段,蔥
蛋豆腐,2025-11-29 04:07:23,2025-11-29 04:07:23,pending,蛋豆腐,雞蛋
