ingredients,ins_timestamp,upd_timestamp,status,t_ingredient_name,normalized_name
片栗粉或太白粉(醃蝦),2025-11-23 04:04:17,2025-11-23 04:04:17,pending,片栗粉或太白粉,太白粉
橄欖油(炒蝦仁),2025-11-23 04:04:17,2025-11-23 04:04:17,pending,橄欖油,橄欖油
大蔥白段,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,大蔥白段,蔥
大蒜片,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,大蒜片,大蒜
薑末,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,薑末,薑
花椒粒,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,花椒粒,花椒
去籽乾辣椒段,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,去籽乾辣椒段,辣椒
帶皮熟腰果,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,帶皮熟腰果,腰果
橄欖油(炒料),2025-11-23 04:04:17,2025-11-23 04:04:17,pending,橄欖油,橄欖油
土豆,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,土豆,馬鈴薯
青椒,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,青椒,青椒
蒜末,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,蒜末,蒜
小米辣朝天椒,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,小米辣朝天椒,辣椒
花椒粒,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,花椒粒,花椒
食用油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,食用油,食用油
白醋,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,白醋,白醋
醬油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,醬油,醬油
老抽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,老抽,醬油
醋,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,醋,白醋
鹽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鹽,鹽
白糖,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,白糖,糖
鰹魚粉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鰹魚粉,鰹魚粉
高筋麵粉,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,高筋麵粉,麵粉
水,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,水,水
牛奶,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,牛奶,牛奶
天然酵種,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,天然酵種,酵種
白糖,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,白糖,糖
鹽,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鹽,鹽
面團用牛油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,面團用牛油,食用油
折叠用牛油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,折叠用牛油,食用油
奇香肉骨茶包,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,奇香肉骨茶包,肉骨茶包
排骨,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,排骨,豬肉
白蘿蔔,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,白蘿蔔,白蘿蔔
洋蔥,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,洋蔥,洋蔥
鴻喜菇,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鴻喜菇,鴻喜菇
蒜頭,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,蒜頭,蒜
水,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,水,水
白胡椒,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,白胡椒,白胡椒
醬油,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,醬油,醬油
鹽巴,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,鹽巴,鹽
生豆包,2025-11-23 04:04:17,2025-11-23 04:04:17,pending,生豆包,豆包
