ori_ingredient_name,nor_ingredient_name,ins_timestamp,upd_timestamp,status
泡打粉,泡打粉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
無鋁泡打粉,泡打粉,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
酵母,酵母,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
速發酵母,酵母,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
酵母粉,酵母,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
白芝麻,芝麻,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
芝麻,芝麻,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
紅豆,紅豆,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
豆腐,豆腐,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
板豆腐,豆腐,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
嫩豆腐,豆腐,2025-11-22 06:34:18,2025-11-22 06:34:18,pending
